,Symbols,Percentage Return,Price Dec 2021,Price Jan 2017,Mean Price,Standard Deviation,COV
1350,LSBK,7.445889470307193,14.899999618530272,13.86744499206543,13.849225254831474,1.1527469790002,0.08323548485847972
1351,LSCC,949.8637051311836,77.05999755859375,7.340000152587891,22.69162031958461,20.19198371752809,0.8898431858610315
1352,LSI,234.86938496362407,153.17999267578125,45.74320602416992,66.58727383481026,24.121820954684893,0.36225872551151916
1353,LSTR,124.42565344474032,179.02000427246094,79.76806640625,114.26122886288061,28.044378674116103,0.24544089848509162
1354,LSXMA,49.896944615025774,50.84999847412109,33.92330551147461,41.304730909982304,4.830911734319206,0.11695783092855587
1355,LSXMK,51.65526959666133,50.84999847412109,33.529991149902344,41.278662992906156,4.822517694678081,0.11682834047960426
1356,LTBR,-51.95652157387497,6.630000114440918,13.800000190734863,9.296608427860512,4.921790903617918,0.5294178992059151
1357,LTC,-4.835823752242973,34.13999938964844,35.87484359741211,36.53254473521844,3.710920489928964,0.1015784834269026
1358,LTHM,,24.3799991607666,,13.532549277314999,6.794380452895637,0.5020769046291412
1359,LTRPA,-86.08974344082995,2.1700000762939453,15.600000381469728,9.134551227140086,5.1631056928034935,0.5652281720708021
1360,LTRX,366.0714385815627,7.829999923706055,1.6799999475479126,3.6515965064997897,1.4429980920729826,0.3951690964498587
1361,LUB,11.620615067213123,2.859999895095825,2.56225061416626,1.531614079420485,0.6271386962099583,0.40946260852293026
1362,LULU,485.56472870910994,391.4500122070313,66.8499984741211,204.06658474995658,120.14468752578473,0.5887523803713303
1363,LUNA,448.05193437977425,8.4399995803833,1.5399999618530271,5.455242251100002,3.216600220586985,0.589634716943759
1364,LUV,-11.11072326801343,42.84000015258789,48.19478988647461,50.9315301926956,7.870289103320259,0.1545268534745297
1365,LVS,-17.064250473343407,37.63999938964844,45.38452911376953,54.548210074354294,8.426368231079733,0.15447561376613106
1366,LW,80.82871503077902,63.380001068115234,35.04974365234375,63.00103706135648,13.313738299192828,0.21132570065833403
1367,LWAY,-58.92857158062409,4.599999904632568,11.199999809265137,5.255957112319892,2.78881586110367,0.5306009545943067
1368,LXP,89.2408198238679,15.619999885559082,8.254033088684082,9.286172058962942,2.0729045165842295,0.22322486633052185
1369,LXRX,-72.25352035110797,3.940000057220459,14.199999809265137,7.123518665126622,4.48679996005081,0.6298572616951311
1370,LXU,60.14492808708346,11.050000190734863,6.900000095367432,4.710078216621666,2.2569400487260345,0.4791725200573929
1371,LYB,61.261610198799474,92.2300033569336,57.19278335571289,74.79134227701176,14.586494152438632,0.19502917996060634
1372,LYFT,,42.72999954223633,,46.30018648287145,12.062674584223373,0.2605318790386709
1373,LYTS,-18.758479092021673,6.860000133514404,8.443958282470703,6.1016252845691445,1.8666807202745015,0.30593172035576977
1374,LYV,336.82483251007557,119.69000244140624,27.39999961853028,58.687180339579925,20.12224113536444,0.3428728560297445
1375,LZB,24.199587856363777,36.310001373291016,29.23520278930664,30.808915137487144,5.157803709943726,0.16741270138616152
1376,M,-5.671602567578375,26.18000030517578,27.75410270690918,18.979595780088562,7.358810323125727,0.38772218378042766
1377,MA,250.84832858923284,359.32000732421875,102.41462707519533,246.22580665667158,85.82774444800401,0.3485733100579467
1378,MAA,180.6402030326301,229.44000244140625,81.75592803955078,113.88077002806357,34.48552113153216,0.30282128513035095
1379,MAC,-66.30780552274445,17.280000686645508,51.287845611572266,29.043010657509704,14.96905228620433,0.5154097990296937
1380,MACK,-67.58348221458128,3.910000085830689,12.061752319335938,4.869692901659807,2.1305973246088734,0.437521906952833
1381,MAN,20.050157200004875,97.33000183105467,81.07444763183594,89.36226680716226,16.347243266418335,0.18293228059774472
1382,MANH,184.51967273877108,155.49000549316406,54.650001525878906,78.46121515178605,37.73487705713688,0.4809366893456518
1383,MANT,91.22889178204852,72.93000030517578,38.137542724609375,61.58202504467832,16.29448584717993,0.2645980841870357
1384,MAR,109.05830539159889,165.24000549316406,79.04015350341797,120.63330148116665,21.74346517813195,0.1802443016245108
1385,MARA,14.734641447752225,32.86000061035156,28.63999938964844,11.479952339145093,14.373059413330006,1.2520138576115694
1386,MARK,-73.09782631582596,0.9900000095367432,3.680000066757202,2.604535344600488,2.2487262917109385,0.8633886640750781
1387,MAS,131.55392412330536,70.22000122070312,30.325550079345703,43.778054415374825,10.60075655778525,0.24214773130854966
1388,MASI,334.39167974926687,292.7799987792969,67.4000015258789,161.26251792150228,69.2925979608774,0.4296881808245543
1389,MAT,-21.15689114981639,21.559999465942383,27.34544563293457,15.941867397359859,4.572338931710112,0.28681325830544413
1390,MATW,-47.670752340243915,36.66999816894531,70.07553100585938,40.18406179426586,12.44575459574744,0.3097186804924586
1391,MATX,178.41725786979066,90.02999877929688,32.33635711669922,41.26997323070281,17.517277719865756,0.42445575677848446
1392,MAYS,-4.447057387408094,40.61000061035156,42.5,34.05913416746593,6.9099596723275765,0.20288124878195318
1393,MBCN,44.793871823488416,24.799999237060547,17.127796173095703,21.24704402699368,2.4462445445479064,0.115133405919432
1394,MBI,43.80692732376045,15.789999961853027,10.979999542236328,9.167593337885437,1.7038243252323237,0.18585295643418248
1395,MBII,-68.83116682055503,0.7200000286102295,2.309999942779541,1.4089356599297194,0.4151740037750407,0.2946720816163816
1396,MBIN,,47.33000183105469,,24.698628999434497,9.277070303347847,0.37561073950947865
1397,MBIO,,1.659999966621399,,4.896426749728397,2.9206210708279534,0.5964800905047665
1398,MBOT,-93.33333333333333,7.5,112.5,15.016806992488403,20.559713579181174,1.369113526561632
1399,MBUU,260.40904277301894,68.7300033569336,19.06999969482422,45.265043729823006,18.221521469546555,0.40255172574905196
